id,name,symbol,slug,is_active,rank,status,platform,token_address
3638,Skychain,SKCH,skychain,1,1157,active,1027,0x70c621f949b6556c4545707a2d5d73a776b98359
3639,PlayGame,PXG,playgame,1,1760,active,1027,0x47e67ba66b0699500f18a53f94e2b9db3d47437e
3640,Livepeer,LPT,livepeer,1,228,active,1027,0x58b6a8a3302369daec383334672404ee733ab239
3641,Stronghold USD,USDS,stronghold-usd,0,null,inactive,512,GBSTRUSD7IRX73RQZBL3RQUH6KS3O4NYFY3QCALDLZD77XMZOPWAVTUK
3642,Trade Token X,TIOX,trade-token-x,1,1589,active,1027,0xd947b0ceab2a8885866b9a04a06ae99de852a3d4
3643,TENA,TENA,tena,1,1610,active,1027,0xE14A603f7c77d4101A87859b8736a04CFD85C688
3644,TravelNote,TVNT,travelnote,1,2035,active,1027,0x5635ddeabf9cdda686995fe90beb5411831563fc
3645,Shivers,SHVR,shivers,1,2024,active,1027,0xd5f788ca0de8f17cbde1d1e35aa8f005a87fa00b
3646,Herbalist Token,HERB,herbalist-token,1,1799,active,1027,0x04a020325024f130988782bd5276e53595e8d16e
3647,Cajtel,CAJ,cajtel,0,null,inactive,1027,0x3c6a7ab47b5f058be0e7c7fe1a4b7925b8aca40e
3648,CoinUs,CNUS,coinus,1,1367,active,1027,0x722f2f3eac7e9597c73a593f7cf3de33fbfc3308
3649,Plus-Coin,NPLC,plus-coin,1,1823,active,1027,0x97fb6fc2ad532033af97043b563131c5204f8a35
3650,COVA,COVA,cova,1,1195,active,1027,0xb37a769b37224449d92aac57de379e1267cd3b00
3651,NEXT.coin,NEXT,next-coin,1,1235,active,,
3652,ZumCoin,ZUM,zumcoin,1,922,active,,
3653,Baer Chain,BRC,baer-chain,1,219,active,,
3654,DataOnBlock,DBLK,dataonblock,0,null,inactive,1027,0x526ccc90191a9472299323816bd2c784c0a1bcde
3655,Fiii,FIII,fiii,1,1749,active,,
3656,Beacon,BECN,beacon,1,2006,active,,
3657,Lambda,LAMB,lambda,1,363,active,1839,LAMB-46C
3658,Fountain,FTN,fountain,1,1052,active,1027,0x56325d180ec3878a9028afc7b0edcee7486cc9df
3659,QUINADS,QUIN,quinads,1,1758,active,1027,0x86e44543164d9b97b14ef7f6f3ab7ba670cab346
3660,USDCoin,USC,usdcoin,0,null,untracked,1027,0x2C5dcd12141c56FBEa08e95f54f12c8B22d492Eb
3661,Stronghold Token,SHX,stronghold-token,1,1070,active,512,GDSTRSHXHGJ7ZIVRBXEYE5Q74XUVCUSEKEBR7UCHEUUEK72N7I7KJ6JH
3662,HedgeTrade,HEDG,hedgetrade,1,32,active,1027,0xF1290473E210b2108A85237fbCd7b6eb42Cc654F
3663,Footballcoin,XFC,footballcoin,1,1021,active,,
3664,AgaveCoin,AGVC,agavecoin,1,305,active,1027,0x8b79656FC38a04044E495e22fAD747126ca305C4
3665,Impleum,IMPL,impleum,1,1666,active,,
3666,Ultiledger,ULT,ultiledger,1,283,active,1027,0xe884cc2795b9c45beeac0607da9539fd571ccf85
3667,Atomic Wallet Coin,AWC,atomic-wallet-coin,1,412,active,1027,0xad22f63404f7305e4713ccbd4f296f34770513f4
3668,ProxyNode,PRX,proxynode,1,1759,active,,
3669,Winco,WCO,winco,1,1498,active,1027,0xd44bb6663936cab1310584a277f7daa6943d4904
3670,ROMToken,ROM,romtoken,1,2970,active,1027,0xacACa5b8805636608e14C64b0bFFfC2Deb2C6cEc
3671,Almeela,KZE,almeela,0,null,untracked,1027,0x8de67d55c58540807601dbf1259537bc2dffc84d
3672,DogeCash,DOGEC,dogecash,1,1487,active,,
3673,BitMax Token,BTMX,bitmax-token,1,247,active,1027,0xcca0c9c383076649604ee31b20248bc04fdf61ca
3674,Globatalent,GBT,globatalent,0,null,untracked,1027,0xd8bd3958725f216eb236e9dc65b169de48101c6a
3675,Crowdvilla Ownership,CRV,crowdvilla-ownership,0,null,inactive,1027,0x69f64d814aa278825997e71738120392993973a4
3676,Crowdvilla Point,CROWD,crowdvilla-point,0,null,inactive,1027,0x26c0e6f69b18125f68ac55f439b1e10c2a2e5c03
3677,ROIyal Coin,ROCO,roiyal-coin,1,1853,active,,
3678,ICOBay,IBT,icobay,0,null,untracked,1027,0x791425156956e39f2ab8ab06b79de189c18e95e5
3679,Earneo,SNPC,earneo,1,1389,active,1839,RNO-14E
3681,CENTERCOIN,CENT,centercoin,1,2546,active,1027,
3682,Italo,XTA,italo,1,1781,active,,
3683,AEN Smart Token,AENS,aen-smart-token,1,459,active,1027,0xD38dE88687172BDE440755b5237987e4A87c23A7
3684,Bitcoiin,B2G,bitcoiin,1,1851,active,,
3685,BTC Lite,BTCL,btc-lite,1,1737,active,1027,0x5acd19b9c91e596b1f062f18e3d02da7ed8d1e50
3686,Content Value Network,CVNT,content-value-network,1,556,active,1027,0x6400b5522f8d448c0803e6245436dd1c81df09ce
3687,BitBall,BTB,bitball,1,1318,active,1027,0x06e0feb0d74106c7ada8497754074d222ec6bcdf
3688,MoX,MOX,mox,1,2101,active,,
3689,Mocrow,MCW,mocrow,0,null,untracked,1027,0x33b919f54692ddbf702065763ea2b50ca02e6bff
3690,Bulleon,BUL,bulleon,1,1924,active,1027,0x0775c81a273b355e6a5b76e240bf708701f00279
3691,Kuai Token,KT,kuai-token,1,990,active,1027,0x26DDF6CabADcBF4F013841BD8d914830BeB0d984
3692,TOKOK,TOK,tokok,1,2971,active,1027,0x9a49f02e128a8e989b443a8f94843c0918bf45e7
3693,M2O,M2O,m2o,0,null,untracked,1027,0x658d79c02a4829b5efa49254f627287e92458ecd
3694,INMAX,INX,inmax,1,1754,active,1027,0x018d7d179350f1bb9853d04982820e37cce13a92
3695,Hyperion,HYN,hyperion,1,47,active,1027,0xe99a894a69d7c2e3c92e61b64c505a6a57d2bc07
3696,SpectrumCash,XSM,spectrumcash,1,1356,active,,
3697,Gamblica,GMBC,gamblica,0,null,untracked,1027,0xfe1d71498da3261844ec14325bdbc93c0f7579f0
3698,Observer,OBSR,observer,1,509,active,,
3699,Nexy,NXY,nexy,0,null,inactive,1027,0x49de436ea25be263cb3e8ff1401931c6f9b70660
3700,Centauri,CTX,centauri,0,null,untracked,,
3701,RSK Infrastructure Framework,RIF,rsk-infrastructure-framework,1,140,active,3626,0x2acc95758f8b5f583470ba265eb685a8f45fc9d5
3702,Beam,BEAM,beam,1,181,active,,
3703,ADAMANT Messenger,ADM,adamant-messenger,1,1145,active,,
3704,v.systems,VSYS,v-systems,1,138,active,,
3705,DEXTER,DXR,dexter,0,null,untracked,1027,0xfff3ada5a2555a2b59bff4f44dfad90146cce8cb
3706,ALBOS,ALB,albos,0,null,untracked,1027,0xf3e70642c28f3f707408c56624c2f30ea9f9fce3
3707,T.OS,TOSC,t-os,1,703,active,1027,0xd50649aab1d39d68bc965e0f6d1cfe0010e4908b
3708,Exosis,EXO,exosis,1,1837,active,,
3709,Grin,GRIN,grin,1,280,active,,
3710,SDChain,SDA,sdchain,0,null,untracked,,
3711,Plair,PLA,plair,1,751,active,3077,0x89827f7bb951fd8a56f8ef13c5bfee38522f2e1f
3712,Cloudbric,CLB,cloudbric,1,679,active,1027,0xb1c1Cb8C7c1992dba24e628bF7d38E71daD46aeB
3713,Wibson,WIB,wibson,0,null,untracked,1027,0x3f17dd476faf0a4855572f0b6ed5115d9bba22ad
3714,LTO Network,LTO,lto-network,1,358,active,1839,LTO-BDF
3715,Cajutel,CAJ,cajutel,1,899,active,1027,0x3c6a7ab47b5f058be0e7c7fe1a4b7925b8aca40e
3716,Amoveo,VEO,amoveo,1,939,active,,
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1,208,active,1027,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
3718,BitTorrent,BTT,bittorrent,1,35,active,1958,1002000
3719,StableUSD,USDS,stableusd,1,1225,active,1027,0xa4bdb11dc0a2bec88d24a3aa1e6bb17201112ebe
3720,SDUSD,SDUSD,sdusd,0,null,untracked,1376,
3721,Huobi Pool Token,HPT,huobi-pool-token,1,197,active,1027,0xa66Daa57432024023DB65477BA87D4E7F5f95213
3722,TEMCO,TEMCO,temco,1,960,active,1027,0x2fc246aa66f0da5bb1368f688548ecbbe9bdee5d
3723,COZ,COZ,coz,0,null,inactive,1027,0x65c9f3bc25370cd91fd7a1badc7352cae2d8031b
3724,SOLVE,SOLVE,solve,1,162,active,1027,0x446c9033e7516d820cc9a2ce2d0b7328b579406f
